location,year,total_sqft,bath,bhk,price per feet,price
Bakkannapalem,2018,1000,2,3,2100.0,2100000
Bakkannapalem,2018,750,1,2,2100.0,1575000
BalajiNagar,2018,1750,1,2,4900.0,8575000
BalajiNagar,2018,1565,2,2,4900.0,7668500
BalajiNagar,2018,1250,2,2,4900.0,6125000
BalajiNagar,2018,1000,2,3,4900.0,4900000
BalajiNagar,2018,750,1,2,4900.0,3675000
Bangaramma Metta,2018,1750,1,2,2700.0,4725000
Bangaramma Metta,2018,1565,2,2,2700.0,4225500
Bangaramma Metta,2018,1250,2,2,2700.0,3375000
Bangaramma Metta,2018,1000,2,3,2700.0,2700000
Bangaramma Metta,2018,750,1,2,2700.0,2025000
Banoji nagar Ramnagar,2018,1750,1,2,3200.0,5600000
Banoji nagar Ramnagar,2018,1565,2,2,3200.0,5008000
Banoji nagar Ramnagar,2018,1250,2,2,3200.0,4000000
Banoji nagar Ramnagar,2018,1000,2,3,3200.0,3200000
Banoji nagar Ramnagar,2018,750,1,2,3200.0,2400000
BeachRoad,2018,1750,1,2,2300.0,4025000
BeachRoad,2018,1565,2,2,2300.0,3599500
BeachRoad,2018,1250,2,2,2300.0,2875000
BeachRoad,2018,1000,2,3,2300.0,2300000
BeachRoad,2018,750,1,2,2300.0,1725000
Bullayya College Road Resapuvanipalem,2018,1750,1,2,3700.0,6475000
Bullayya College Road Resapuvanipalem,2018,1565,2,2,3700.0,5790500
Bullayya College Road Resapuvanipalem,2018,1250,2,2,3700.0,4625000
Bullayya College Road Resapuvanipalem,2018,1000,2,3,3700.0,3700000
Bullayya College Road Resapuvanipalem,2018,750,1,2,3700.0,2775000
BVK College Road,2018,1750,2,3,3400.0,5950000
BVK College Road,2018,1565,2,2,3400.0,5321000
BVK College Road,2018,1250,1,2,3400.0,4250000
BVK College Road,2018,1000,1,2,3400.0,3400000
BVK College Road,2018,750,1,1,3400.0,2550000
Carshed,2018,1750,1,2,2600.0,4550000
Carshed,2018,1565,2,2,2600.0,4069000
Carshed,2018,1250,2,2,2600.0,3250000
Carshed,2018,1000,2,3,2600.0,2600000
Carshed,2018,750,1,2,2600.0,1950000
CBM Compound Complex,2018,1750,2,3,4500.0,7875000
CBM Compound Complex,2018,1565,2,3,4500.0,7042500
CBM Compound Complex,2018,1250,2,2,4500.0,5625000
CBM Compound Complex,2018,1000,1,2,4500.0,4500000
CBM Compound Complex,2018,750,2,2,4500.0,3375000
Chakala veedhi Chinnawaltair,2018,1750,2,3,3000.0,5250000
Chakala veedhi Chinnawaltair,2018,1565,2,3,3000.0,4695000
Chakala veedhi Chinnawaltair,2018,1250,2,2,3000.0,3750000
Chakala veedhi Chinnawaltair,2018,1000,1,2,3000.0,3000000
Chakala veedhi Chinnawaltair,2018,750,2,2,3000.0,2250000
Chaluva Thota Allipuram,2018,1750,2,3,3900.0,6825000
Chaluva Thota Allipuram,2018,1565,2,3,3900.0,6103500
Chaluva Thota Allipuram,2018,1250,2,2,3900.0,4875000
Chaluva Thota Allipuram,2018,1000,1,2,3900.0,3900000
Chaluva Thota Allipuram,2018,750,2,2,3900.0,2925000
Chandrampalem NH,2018,1750,2,3,2700.0,4725000
Chandrampalem NH,2018,1565,2,3,2700.0,4225500
Chandrampalem NH,2018,1250,2,2,2700.0,3375000
Chandrampalem NH,2018,1000,1,2,2700.0,2700000
Chandrampalem NH,2018,750,2,2,2700.0,2025000
Changalraopeta Main Road,2018,1750,2,3,3400.0,5950000
Changalraopeta Main Road,2018,1565,2,3,3400.0,5321000
Changalraopeta Main Road,2018,1250,2,2,3400.0,4250000
Changalraopeta Main Road,2018,1000,1,2,3400.0,3400000
Changalraopeta Main Road,2018,750,2,2,3400.0,2550000
ChilakapetaQuarters,2018,1750,2,3,4200.0,7350000
ChilakapetaQuarters,2018,1565,2,2,4200.0,6573000
ChilakapetaQuarters,2018,1250,2,3,4200.0,5250000
ChilakapetaQuarters,2018,1000,1,2,4200.0,4200000
ChilakapetaQuarters,2018,750,1,1,4200.0,3150000
ChinnaRushikonda,2018,1750,2,3,4200.0,7350000
ChinnaRushikonda,2018,1565,2,3,2300.0,3599500
ChinnaRushikonda,2018,1250,2,2,2300.0,2875000
ChinnaRushikonda,2018,1000,1,2,2300.0,2300000
ChinnaRushikonda,2018,750,2,2,2300.0,1725000
Chinnawaltair,2018,1750,2,3,5200.0,9100000
Chinnawaltair,2018,1565,2,3,5200.0,8138000
Chinnawaltair,2018,1250,2,2,5200.0,6500000
Chinnawaltair,2018,1000,1,2,5200.0,5200000
Chinnawaltair,2018,750,2,2,5200.0,3900000
CMR FunctionHall Area,2018,750,1,2,3800.0,2850000
CMR FunctionHall Area,2018,1750,2,3,3800.0,6650000
CMR FunctionHall Area,2018,1500,2,2,3800.0,5700000
CMR FunctionHall Area,2018,1000,2,2,3800.0,3800000
CMR FunctionHall Area,2018,1250,1,2,3800.0,4750000
Collector office Jn,2018,1750,2,3,4500.0,7875000
Collector office Jn,2018,1565,2,3,4500.0,7042500
Collector office Jn,2018,1250,2,2,4500.0,5625000
Collector office Jn,2018,1000,2,2,4500.0,4500000
Collector office Jn,2018,750,1,2,4500.0,3375000
CycloneCentre Staff Quarters YogaVillage,2018,1750,2,3,3800.0,6650000
CycloneCentre Staff Quarters YogaVillage,2018,1565,2,2,3800.0,5947000
CycloneCentre Staff Quarters YogaVillage,2018,1250,2,3,3800.0,4750000
CycloneCentre Staff Quarters YogaVillage,2018,1000,2,2,3800.0,3800000
CycloneCentre Staff Quarters YogaVillage,2018,750,2,2,3800.0,2850000
Dabagardens,2018,1750,2,3,3700.0,6475000
Dabagardens,2018,1565,2,2,3700.0,5790500
Dabagardens,2018,1250,2,3,3700.0,4625000
Dabagardens,2018,1000,2,2,3700.0,3700000
Dabagardens,2018,750,2,2,3700.0,2775000
DanduBazaar,2018,1750,2,3,5000.0,8750000
DanduBazaar,2018,1565,2,3,5000.0,7825000
DanduBazaar,2018,1250,1,2,5000.0,6250000
DanduBazaar,2018,1000,2,2,5000.0,5000000
DanduBazaar,2018,750,1,2,5000.0,3750000
DasapallaHills,2018,1750,1,2,5200.0,9100000
DasapallaHills,2018,1565,2,3,5200.0,8138000
DasapallaHills,2018,1250,2,2,5200.0,6500000
DasapallaHills,2018,1000,1,1,5200.0,5200000
DasapallaHills,2018,750,2,2,5200.0,3900000
DevangulaStreet Allipuram,2018,1750,2,3,3800.0,6650000
DevangulaStreet Allipuram,2018,1565,2,2,3800.0,5947000
DevangulaStreet Allipuram,2018,1250,2,2,3800.0,4750000
DevangulaStreet Allipuram,2018,1000,1,1,3800.0,3800000
DevangulaStreet Allipuram,2018,750,1,2,3800.0,2850000
Diabbapalem Jagadamba ,2018,1750,2,3,3900.0,6825000
Diabbapalem Jagadamba ,2018,1565,2,2,3900.0,6103500
Diabbapalem Jagadamba ,2018,1250,2,3,3900.0,4875000
Diabbapalem Jagadamba ,2018,1000,2,2,3900.0,3900000
Diabbapalem Jagadamba ,2018,750,2,2,3900.0,2925000
Doctors Colony Seethammadhara Jn HB Colony,2018,1750,1,2,3400.0,5950000
Doctors Colony Seethammadhara Jn HB Colony,2018,1565,2,2,3400.0,5321000
Doctors Colony Seethammadhara Jn HB Colony,2018,1250,2,2,3400.0,4250000
Doctors Colony Seethammadhara Jn HB Colony,2018,1000,2,3,3400.0,3400000
Doctors Colony Seethammadhara Jn HB Colony,2018,750,1,2,3400.0,2550000
DolphinHotel,2018,1750,2,3,3800.0,6650000
DolphinHotel,2018,1565,2,2,3800.0,5947000
DolphinHotel,2018,1250,1,3,3800.0,4750000
DolphinHotel,2018,1000,2,3,3800.0,3800000
DolphinHotel,2018,750,2,2,3800.0,2850000
Durganagar Kancharapalem,2018,1750,1,2,2600.0,4550000
Durganagar Kancharapalem,2018,1565,2,2,2600.0,4069000
Durganagar Kancharapalem,2018,1250,2,2,2600.0,3250000
Durganagar Kancharapalem,2018,1000,2,3,2600.0,2600000
Durganagar Kancharapalem,2018,750,1,2,2600.0,1950000
DurgaTemple Area BeachRoad,2018,1750,1,3,4000.0,7000000
DurgaTemple Area BeachRoad,2018,1565,2,3,4000.0,6260000
DurgaTemple Area BeachRoad,2018,1250,2,2,4000.0,5000000
DurgaTemple Area BeachRoad,2018,1000,1,2,4000.0,4000000
DurgaTemple Area BeachRoad,2018,750,2,3,4000.0,3000000
EastPointColony Chinnawaltair,2018,1750,2,3,4100.0,7175000
EastPointColony Chinnawaltair,2018,1565,2,3,4100.0,6416500
EastPointColony Chinnawaltair,2018,1250,2,2,4100.0,5125000
EastPointColony Chinnawaltair,2018,1000,1,2,4100.0,4100000
EastPointColony Chinnawaltair,2018,750,2,2,4100.0,3075000
EenaduLayout,2018,1750,2,3,2300.0,4025000
EenaduLayout,2018,1565,2,2,2300.0,3599500
EenaduLayout,2018,1250,2,3,2300.0,2875000
EenaduLayout,2018,1000,2,2,2300.0,2300000
EenaduLayout,2018,750,2,2,2300.0,1725000
Gitam College Road,2018,1750,2,3,2100.0,3675000
Gitam College Road,2018,1565,2,2,2100.0,3286500
Gitam College Road,2018,1250,2,2,2100.0,2625000
Gitam College Road,2018,1000,1,2,2100.0,2100000
Gitam College Road,2018,750,1,1,2100.0,1575000
GnanapuramMainRoad,2018,1750,2,3,4300.0,7525000
GnanapuramMainRoad,2018,1565,2,2,4300.0,6729500
GnanapuramMainRoad,2018,1250,1,2,4300.0,5375000
GnanapuramMainRoad,2018,1000,2,3,4300.0,4300000
GnanapuramMainRoad,2018,750,1,2,4300.0,3225000
GNT Road,2018,1750,2,3,2600.0,4550000
GNT Road,2018,1565,2,2,2600.0,4069000
GNT Road,2018,1250,2,3,2600.0,3250000
GNT Road,2018,1000,2,2,2600.0,2600000
GNT Road,2018,750,2,2,2600.0,1950000
Godavari Street,2018,1750,2,3,4200.0,7350000
Godavari Street,2018,1565,2,2,4200.0,6573000
Godavari Street,2018,1250,2,3,4200.0,5250000
Godavari Street,2018,1000,2,1,4200.0,4200000
Godavari Street,2018,750,2,2,4200.0,3150000
Gokhale Road,2018,1750,1,3,4500.0,7875000
Gokhale Road,2018,1565,2,3,4500.0,7042500
Gokhale Road,2018,1250,2,2,4500.0,5625000
Gokhale Road,2018,1000,1,2,4500.0,4500000
Gokhale Road,2018,750,1,1,4500.0,3375000
Gollalapalem,2018,1750,2,3,3100.0,5425000
Gollalapalem,2018,1565,2,2,3100.0,4851500
Gollalapalem,2018,1250,2,2,3100.0,3875000
Gollalapalem,2018,1000,1,2,3100.0,3100000
Gollalapalem,2018,750,1,1,3100.0,2325000
Gollaveedhi Kancharapalem,2018,1750,1,3,4000.0,7000000
Gollaveedhi Kancharapalem,2018,1565,2,3,4000.0,6260000
Gollaveedhi Kancharapalem,2018,1250,2,2,4000.0,5000000
Gollaveedhi Kancharapalem,2018,1000,1,2,4000.0,4000000
Gollaveedhi Kancharapalem,2018,750,2,3,4000.0,3000000
GovindaRoad Kancharapalem,2018,1750,2,3,4300.0,7525000
GovindaRoad Kancharapalem,2018,1565,2,2,4300.0,6729500
GovindaRoad Kancharapalem,2018,1250,2,3,4300.0,5375000
GovindaRoad Kancharapalem,2018,1000,1,2,4300.0,4300000
GovindaRoad Kancharapalem,2018,750,2,3,4300.0,3225000
GrandbayHotel Gokhale road,2018,1750,2,3,4500.0,7875000
GrandbayHotel Gokhale road,2018,1565,2,2,4500.0,7042500
GrandbayHotel Gokhale road,2018,1250,1,2,4500.0,5625000
GrandbayHotel Gokhale road,2018,1000,2,3,4500.0,4500000
GrandbayHotel Gokhale road,2018,750,2,2,4500.0,3375000
Green Park Hotel Road,2018,1750,1,3,5200.0,9100000
Green Park Hotel Road,2018,1565,2,2,5200.0,8138000
Green Park Hotel Road,2018,1250,2,2,5200.0,6500000
Green Park Hotel Road,2018,1000,1,2,5200.0,5200000
Green Park Hotel Road,2018,750,1,1,5200.0,3900000
GurudwaraJunction,2018,1750,2,3,5200.0,9100000
GurudwaraJunction,2018,1565,1,2,5200.0,8138000
GurudwaraJunction,2018,1250,2,2,5200.0,6500000
GurudwaraJunction,2018,1000,1,2,5200.0,5200000
GurudwaraJunction,2018,750,1,1,5200.0,3900000
HanumanthaWaka,2018,1750,2,3,2400.0,4200000
HanumanthaWaka,2018,1565,1,2,2400.0,3756000
HanumanthaWaka,2018,1250,2,2,2400.0,3000000
HanumanthaWaka,2018,1000,1,2,2400.0,2400000
HanumanthaWaka,2018,750,1,1,2400.0,1800000
Harbour Street Kota Veedhi,2018,1750,2,3,2600.0,4550000
Harbour Street Kota Veedhi,2018,1565,1,2,3700.0,5790500
Harbour Street Kota Veedhi,2018,1250,2,2,3700.0,4625000
Harbour Street Kota Veedhi,2018,1000,1,2,3700.0,3700000
Harbour Street Kota Veedhi,2018,750,1,1,3700.0,2775000
HB Colony,2018,1750,2,3,2600.0,4550000
HB Colony,2018,1565,1,2,2600.0,4069000
HB Colony,2018,1250,2,2,2600.0,3250000
HB Colony,2018,1000,1,2,2600.0,2600000
HB Colony,2018,750,1,1,2600.0,1950000
HeadPostOfficeRoad,2018,1750,1,2,4000.0,7000000
HeadPostOfficeRoad,2018,1565,2,2,4000.0,6260000
HeadPostOfficeRoad,2018,1250,2,3,4000.0,5000000
HeadPostOfficeRoad,2018,1000,2,2,4000.0,4000000
HeadPostOfficeRoad,2018,750,1,1,4000.0,3000000
HPCL Layout,2018,1750,1,2,2400.0,4200000
HPCL Layout,2018,1565,2,2,2400.0,3756000
HPCL Layout,2018,1250,2,3,2400.0,3000000
HPCL Layout,2018,1000,2,2,2400.0,2400000
HPCL Layout,2018,750,1,1,2400.0,1800000
Indiranagar,2018,1750,1,2,2600.0,4550000
Indiranagar,2018,1565,2,2,2600.0,4069000
Indiranagar,2018,1250,2,3,2600.0,3250000
Indiranagar,2018,1000,2,2,2600.0,2600000
Indiranagar,2018,750,1,1,2600.0,1950000
IssukaThota,2018,1750,2,2,5200.0,9100000
IssukaThota,2018,1565,1,2,5200.0,8138000
IssukaThota,2018,1250,1,2,5200.0,6500000
IssukaThota,2018,1000,2,3,5200.0,5200000
IssukaThota,2018,750,1,2,5200.0,3900000
Jagadamba Junction,2018,1750,2,3,4900.0,8575000
Jagadamba Junction,2018,1565,2,2,4900.0,7668500
Jagadamba Junction,2018,1250,1,2,4900.0,6125000
Jagadamba Junction,2018,1000,1,2,4900.0,4900000
Jagadamba Junction,2018,750,1,1,4900.0,3675000
Jalaripeta,2018,1750,2,3,3900.0,6825000
Jalaripeta,2018,1565,2,2,3900.0,6103500
Jalaripeta,2018,1250,2,3,3900.0,4875000
Jalaripeta,2018,1000,2,2,3900.0,3900000
Jalaripeta,2018,750,2,2,3900.0,2925000
Jodugullapalem,2018,1750,2,3,2400.0,4200000
Jodugullapalem,2018,1565,2,2,2400.0,3756000
Jodugullapalem,2018,1250,1,2,2400.0,3000000
Jodugullapalem,2018,1000,1,2,2400.0,2400000
Jodugullapalem,2018,750,1,1,2400.0,1800000
Kailasa Metta,2018,1750,1,2,3400.0,5950000
Kailasa Metta,2018,1565,2,2,3400.0,5321000
Kailasa Metta,2018,1250,2,2,3400.0,4250000
Kailasa Metta,2018,1000,2,3,3400.0,3400000
Kailasa Metta,2018,750,1,2,3400.0,2550000
Kancharapalem,2018,1750,2,3,4600.0,8050000
Kancharapalem,2018,1565,1,2,4600.0,7199000
Kancharapalem,2018,1250,1,1,4600.0,5750000
Kancharapalem,2018,1000,2,3,4600.0,4600000
Kancharapalem,2018,750,1,1,4600.0,3450000
KGH DownRoad,2018,1750,2,2,4200.0,7350000
KGH DownRoad,2018,1565,2,3,4200.0,6573000
KGH DownRoad,2018,1250,1,2,4200.0,5250000
KGH DownRoad,2018,1000,2,3,4200.0,4200000
KGH DownRoad,2018,750,1,1,4200.0,3150000
KGH Quarter Kothasalipeta Road,2018,1750,2,2,3100.0,5425000
KGH Quarter Kothasalipeta Road,2018,1565,2,3,3100.0,4851500
KGH Quarter Kothasalipeta Road,2018,1250,1,2,3100.0,3875000
KGH Quarter Kothasalipeta Road,2018,1000,2,3,3100.0,3100000
KGH Quarter Kothasalipeta Road,2018,750,1,1,3100.0,2325000
KirlampudiLayout,2018,1750,1,2,4600.0,8050000
KirlampudiLayout,2018,1565,2,2,4600.0,7199000
KirlampudiLayout,2018,1250,2,2,4600.0,5750000
KirlampudiLayout,2018,1000,2,1,4600.0,4600000
KirlampudiLayout,2018,750,1,1,4600.0,3450000
Kolluru Masions Maharanipeta,2018,1750,1,2,3200.0,5600000
Kolluru Masions Maharanipeta,2018,1565,2,2,3200.0,5008000
Kolluru Masions Maharanipeta,2018,1250,2,2,3200.0,4000000
Kolluru Masions Maharanipeta,2018,1000,2,3,3200.0,3200000
Kolluru Masions Maharanipeta,2018,750,1,2,3200.0,2400000
Kommadi Jn NH,2018,1750,2,2,2700.0,4725000
Kommadi Jn NH,2018,1565,2,3,2700.0,4225500
Kommadi Jn NH,2018,1250,1,2,2700.0,3375000
Kommadi Jn NH,2018,1000,2,3,2700.0,2700000
Kommadi Jn NH,2018,750,1,1,2700.0,2025000
KonaVeedi Chinawaltair,2018,1750,2,2,2600.0,4550000
KonaVeedi Chinawaltair,2018,1565,2,3,2600.0,4069000
KonaVeedi Chinawaltair,2018,1250,1,2,2600.0,3250000
KonaVeedi Chinawaltair,2018,1000,2,3,2600.0,2600000
KonaVeedi Chinawaltair,2018,750,1,1,2600.0,1950000
KotakSchool ChinnaWaltair,2018,1750,2,3,4700.0,8225000
KotakSchool ChinnaWaltair,2018,1565,2,3,4700.0,7355500
KotakSchool ChinnaWaltair,2018,1250,2,2,4700.0,5875000
KotakSchool ChinnaWaltair,2018,1000,1,2,4700.0,4700000
KotakSchool ChinnaWaltair,2018,750,2,2,4700.0,3525000
Kothajalaripeta,2018,1750,2,2,3100.0,5425000
Kothajalaripeta,2018,1565,2,3,3100.0,4851500
Kothajalaripeta,2018,1250,1,2,3100.0,3875000
Kothajalaripeta,2018,1000,2,3,3100.0,3100000
Kothajalaripeta,2018,750,1,1,3100.0,2325000
KothaRoad,2018,1750,2,3,4200.0,7350000
KothaRoad,2018,1565,2,2,4200.0,6573000
KothaRoad,2018,1250,2,3,4200.0,5250000
KothaRoad,2018,1000,1,2,4200.0,4200000
KothaRoad,2018,750,1,1,4200.0,3150000
Kothavenkojipalem,2018,1750,2,2,3100.0,5425000
Kothavenkojipalem,2018,1565,2,3,3100.0,4851500
Kothavenkojipalem,2018,1250,1,2,3100.0,3875000
Kothavenkojipalem,2018,1000,2,3,3100.0,3100000
Kothavenkojipalem,2018,750,1,1,3100.0,2325000
KrishnaCollgeRoad,2018,1750,2,3,5200.0,9100000
KrishnaCollgeRoad,2018,1565,2,2,5200.0,8138000
KrishnaCollgeRoad,2018,1250,1,2,5200.0,6500000
KrishnaCollgeRoad,2018,1000,1,1,5200.0,5200000
KrishnaCollgeRoad,2018,750,1,1,5200.0,3900000
LalithaNagar Akkayyapalem,2018,1750,2,3,5200.0,9100000
LalithaNagar Akkayyapalem,2018,1565,2,2,5200.0,8138000
LalithaNagar Akkayyapalem,2018,1250,1,2,5200.0,6500000
LalithaNagar Akkayyapalem,2018,1000,2,1,5200.0,5200000
LalithaNagar Akkayyapalem,2018,750,2,3,5200.0,3900000
LawCollege,2018,1750,2,3,2300.0,4025000
LawCollege,2018,1565,2,2,2300.0,3599500
LawCollege,2018,1250,1,2,2300.0,2875000
LawCollege,2018,1000,2,1,2300.0,2300000
LawCollege,2018,750,2,3,2300.0,1725000
LawsonsbayColony,2018,1750,2,3,3400.0,5950000
LawsonsbayColony,2018,1565,2,2,3400.0,5321000
LawsonsbayColony,2018,1250,1,2,3400.0,4250000
LawsonsbayColony,2018,1000,2,1,3400.0,3400000
LawsonsbayColony,2018,750,2,3,3400.0,2550000
LB Colony Pedawaltair,2018,1750,2,3,4700.0,8225000
LB Colony Pedawaltair,2018,1565,2,2,4700.0,7355500
LB Colony Pedawaltair,2018,1250,2,2,4700.0,5875000
LB Colony Pedawaltair,2018,1000,1,2,4700.0,4700000
LB Colony Pedawaltair,2018,750,1,1,4700.0,3525000
Leelamahal Road,2018,1750,2,3,4300.0,7525000
Leelamahal Road,2018,1565,1,2,4300.0,6729500
Leelamahal Road,2018,1250,1,2,4300.0,5375000
Leelamahal Road,2018,1000,2,2,4300.0,4300000
Leelamahal Road,2018,750,1,1,4300.0,3225000
Maddilapalem,2018,1750,2,3,3000.0,5250000
Maddilapalem,2018,1565,1,2,3000.0,4695000
Maddilapalem,2018,1250,1,2,3000.0,3750000
Maddilapalem,2018,1000,2,2,3000.0,3000000
Maddilapalem,2018,750,1,1,3000.0,2250000
Madhurawada,2018,1750,2,3,2400.0,4200000
Madhurawada,2018,1565,1,2,2400.0,3756000
Madhurawada,2018,1250,1,2,2400.0,3000000
Madhurawada,2018,1000,2,2,2400.0,2400000
Madhurawada,2018,750,1,1,2400.0,1800000
Marikavalasa,2018,1750,2,3,2100.0,3675000
Marikavalasa,2018,1565,1,2,2100.0,3286500
Marikavalasa,2018,1250,1,2,2100.0,2625000
Marikavalasa,2018,1000,2,2,2100.0,2100000
Marikavalasa,2018,750,1,1,2100.0,1575000
