location,year,total_sqft,bath,bhk,price per feet,price
27.Bullayya College Road Resapuvanipalem,2018,750,1,2,3700.0,2775000
28.BVK College Road,2018,1750,2,3,3400.0,5950000
28.BVK College Road,2018,1565,2,2,3400.0,5321000
28.BVK College Road,2018,1250,1,2,3400.0,4250000
28.BVK College Road,2018,1000,1,2,3400.0,3400000
28.BVK College Road,2018,750,1,1,3400.0,2550000
29.Carshed,2018,1750,1,2,2600.0,4550000
29.Carshed,2018,1565,2,2,2600.0,4069000
29.Carshed,2018,1250,2,2,2600.0,3250000
29.Carshed,2018,1000,2,3,2600.0,2600000
29.Carshed,2018,750,1,2,2600.0,1950000
30.CBM Compound Complex,2018,1750,2,3,4500.0,7875000
30.CBM Compound Complex,2018,1565,2,3,4500.0,7042500
30.CBM Compound Complex,2018,1250,2,2,4500.0,5625000
30.CBM Compound Complex,2018,1000,1,2,4500.0,4500000
30.CBM Compound Complex,2018,750,2,2,4500.0,3375000
31.Chakala veedhi Chinnawaltair,2018,1750,2,3,3000.0,5250000
31.Chakala veedhi Chinnawaltair,2018,1565,2,3,3000.0,4695000
31.Chakala veedhi Chinnawaltair,2018,1250,2,2,3000.0,3750000
31.Chakala veedhi Chinnawaltair,2018,1000,1,2,3000.0,3000000
31.Chakala veedhi Chinnawaltair,2018,750,2,2,3000.0,2250000
32.Chaluva Thota Allipuram,2018,1750,2,3,3900.0,6825000
32.Chaluva Thota Allipuram,2018,1565,2,3,3900.0,6103500
32.Chaluva Thota Allipuram,2018,1250,2,2,3900.0,4875000
32.Chaluva Thota Allipuram,2018,1000,1,2,3900.0,3900000
32.Chaluva Thota Allipuram,2018,750,2,2,3900.0,2925000
33.Chandrampalem NH,2018,1750,2,3,2700.0,4725000
33.Chandrampalem NH,2018,1565,2,3,2700.0,4225500
33.Chandrampalem NH,2018,1250,2,2,2700.0,3375000
33.Chandrampalem NH,2018,1000,1,2,2700.0,2700000
33.Chandrampalem NH,2018,750,2,2,2700.0,2025000
34.Changalraopeta Main Road,2018,1750,2,3,3400.0,5950000
34.Changalraopeta Main Road,2018,1565,2,3,3400.0,5321000
34.Changalraopeta Main Road,2018,1250,2,2,3400.0,4250000
34.Changalraopeta Main Road,2018,1000,1,2,3400.0,3400000
34.Changalraopeta Main Road,2018,750,2,2,3400.0,2550000
35.ChilakapetaQuarters,2018,1750,2,3,4200.0,7350000
35.ChilakapetaQuarters,2018,1565,2,2,4200.0,6573000
35.ChilakapetaQuarters,2018,1250,2,3,4200.0,5250000
35.ChilakapetaQuarters,2018,1000,1,2,4200.0,4200000
35.ChilakapetaQuarters,2018,750,1,1,4200.0,3150000
36.ChinnaRushikonda,2018,1750,2,3,4200.0,7350000
36.ChinnaRushikonda,2018,1565,2,3,2300.0,3599500
36.ChinnaRushikonda,2018,1250,2,2,2300.0,2875000
36.ChinnaRushikonda,2018,1000,1,2,2300.0,2300000
36.ChinnaRushikonda,2018,750,2,2,2300.0,1725000
37.Chinnawaltair,2018,1750,2,3,5200.0,9100000
37.Chinnawaltair,2018,1565,2,3,5200.0,8138000
37.Chinnawaltair,2018,1250,2,2,5200.0,6500000
37.Chinnawaltair,2018,1000,1,2,5200.0,5200000
37.Chinnawaltair,2018,750,2,2,5200.0,3900000
38.CMR FunctionHall Area,2018,750,1,2,3800.0,2850000
38.CMR FunctionHall Area,2018,1750,2,3,3800.0,6650000
38.CMR FunctionHall Area,2018,1500,2,2,3800.0,5700000
38.CMR FunctionHall Area,2018,1000,2,2,3800.0,3800000
38.CMR FunctionHall Area,2018,1250,1,2,3800.0,4750000
39.Collector office Jn,2018,1750,2,3,4500.0,7875000
39.Collector office Jn,2018,1565,2,3,4500.0,7042500
39.Collector office Jn,2018,1250,2,2,4500.0,5625000
39.Collector office Jn,2018,1000,2,2,4500.0,4500000
39.Collector office Jn,2018,750,1,2,4500.0,3375000
40.CycloneCentre Staff Quarters YogaVillage,2018,1750,2,3,3800.0,6650000
40.CycloneCentre Staff Quarters YogaVillage,2018,1565,2,2,3800.0,5947000
40.CycloneCentre Staff Quarters YogaVillage,2018,1250,2,3,3800.0,4750000
40.CycloneCentre Staff Quarters YogaVillage,2018,1000,2,2,3800.0,3800000
40.CycloneCentre Staff Quarters YogaVillage,2018,750,2,2,3800.0,2850000
41.Dabagardens,2018,1750,2,3,3700.0,6475000
41.Dabagardens,2018,1565,2,2,3700.0,5790500
41.Dabagardens,2018,1250,2,3,3700.0,4625000
41.Dabagardens,2018,1000,2,2,3700.0,3700000
41.Dabagardens,2018,750,2,2,3700.0,2775000
42.DanduBazaar,2018,1750,2,3,5000.0,8750000
42.DanduBazaar,2018,1565,2,3,5000.0,7825000
42.DanduBazaar,2018,1250,1,2,5000.0,6250000
42.DanduBazaar,2018,1000,2,2,5000.0,5000000
42.DanduBazaar,2018,750,1,2,5000.0,3750000
43.DasapallaHills,2018,1750,1,2,5200.0,9100000
43.DasapallaHills,2018,1565,2,3,5200.0,8138000
43.DasapallaHills,2018,1250,2,2,5200.0,6500000
43.DasapallaHills,2018,1000,1,1,5200.0,5200000
43.DasapallaHills,2018,750,2,2,5200.0,3900000
44.DevangulaStreet Allipuram,2018,1750,2,3,3800.0,6650000
44.DevangulaStreet Allipuram,2018,1565,2,2,3800.0,5947000
44.DevangulaStreet Allipuram,2018,1250,2,2,3800.0,4750000
44.DevangulaStreet Allipuram,2018,1000,1,1,3800.0,3800000
44.DevangulaStreet Allipuram,2018,750,1,2,3800.0,2850000
45.Diabbapalem Jagadamba ,2018,1750,2,3,3900.0,6825000
45.Diabbapalem Jagadamba ,2018,1565,2,2,3900.0,6103500
45.Diabbapalem Jagadamba ,2018,1250,2,3,3900.0,4875000
45.Diabbapalem Jagadamba ,2018,1000,2,2,3900.0,3900000
45.Diabbapalem Jagadamba ,2018,750,2,2,3900.0,2925000
46.Doctors Colony Seethammadhara Jn HB Colony,2018,1750,1,2,3400.0,5950000
46.Doctors Colony Seethammadhara Jn HB Colony,2018,1565,2,2,3400.0,5321000
46.Doctors Colony Seethammadhara Jn HB Colony,2018,1250,2,2,3400.0,4250000
46.Doctors Colony Seethammadhara Jn HB Colony,2018,1000,2,3,3400.0,3400000
46.Doctors Colony Seethammadhara Jn HB Colony,2018,750,1,2,3400.0,2550000
47.DolphinHotel,2018,1750,2,3,3800.0,6650000
47.DolphinHotel,2018,1565,2,2,3800.0,5947000
47.DolphinHotel,2018,1250,1,3,3800.0,4750000
47.DolphinHotel,2018,1000,2,3,3800.0,3800000
47.DolphinHotel,2018,750,2,2,3800.0,2850000
48.Durganagar Kancharapalem,2018,1750,1,2,2600.0,4550000
48.Durganagar Kancharapalem,2018,1565,2,2,2600.0,4069000
48.Durganagar Kancharapalem,2018,1250,2,2,2600.0,3250000
48.Durganagar Kancharapalem,2018,1000,2,3,2600.0,2600000
48.Durganagar Kancharapalem,2018,750,1,2,2600.0,1950000
49.DurgaTemple Area BeachRoad,2018,1750,1,3,4000.0,7000000
49.DurgaTemple Area BeachRoad,2018,1565,2,3,4000.0,6260000
49.DurgaTemple Area BeachRoad,2018,1250,2,2,4000.0,5000000
49.DurgaTemple Area BeachRoad,2018,1000,1,2,4000.0,4000000
49.DurgaTemple Area BeachRoad,2018,750,2,3,4000.0,3000000
50.EastPointColony Chinnawaltair,2018,1750,2,3,4100.0,7175000
50.EastPointColony Chinnawaltair,2018,1565,2,3,4100.0,6416500
50.EastPointColony Chinnawaltair,2018,1250,2,2,4100.0,5125000
50.EastPointColony Chinnawaltair,2018,1000,1,2,4100.0,4100000
50.EastPointColony Chinnawaltair,2018,750,2,2,4100.0,3075000
51.EenaduLayout,2018,1750,2,3,2300.0,4025000
51.EenaduLayout,2018,1565,2,2,2300.0,3599500
51.EenaduLayout,2018,1250,2,3,2300.0,2875000
51.EenaduLayout,2018,1000,2,2,2300.0,2300000
51.EenaduLayout,2018,750,2,2,2300.0,1725000
52.Gitam College Road,2018,1750,2,3,2100.0,3675000
52.Gitam College Road,2018,1565,2,2,2100.0,3286500
52.Gitam College Road,2018,1250,2,2,2100.0,2625000
52.Gitam College Road,2018,1000,1,2,2100.0,2100000
52.Gitam College Road,2018,750,1,1,2100.0,1575000
53.GnanapuramMainRoad,2018,1750,2,3,4300.0,7525000
53.GnanapuramMainRoad,2018,1565,2,2,4300.0,6729500
53.GnanapuramMainRoad,2018,1250,1,2,4300.0,5375000
53.GnanapuramMainRoad,2018,1000,2,3,4300.0,4300000
53.GnanapuramMainRoad,2018,750,1,2,4300.0,3225000
54.GNT Road,2018,1750,2,3,2600.0,4550000
54.GNT Road,2018,1565,2,2,2600.0,4069000
54.GNT Road,2018,1250,2,3,2600.0,3250000
54.GNT Road,2018,1000,2,2,2600.0,2600000
54.GNT Road,2018,750,2,2,2600.0,1950000
55.Godavari Street,2018,1750,2,3,4200.0,7350000
55.Godavari Street,2018,1565,2,2,4200.0,6573000
55.Godavari Street,2018,1250,2,3,4200.0,5250000
55.Godavari Street,2018,1000,2,1,4200.0,4200000
55.Godavari Street,2018,750,2,2,4200.0,3150000
56.Gokhale Road,2018,1750,1,3,4500.0,7875000
56.Gokhale Road,2018,1565,2,3,4500.0,7042500
56.Gokhale Road,2018,1250,2,2,4500.0,5625000
56.Gokhale Road,2018,1000,1,2,4500.0,4500000
56.Gokhale Road,2018,750,1,1,4500.0,3375000
57.Gollalapalem,2018,1750,2,3,3100.0,5425000
57.Gollalapalem,2018,1565,2,2,3100.0,4851500
57.Gollalapalem,2018,1250,2,2,3100.0,3875000
57.Gollalapalem,2018,1000,1,2,3100.0,3100000
57.Gollalapalem,2018,750,1,1,3100.0,2325000
58.Gollaveedhi Kancharapalem,2018,1750,1,3,4000.0,7000000
58.Gollaveedhi Kancharapalem,2018,1565,2,3,4000.0,6260000
58.Gollaveedhi Kancharapalem,2018,1250,2,2,4000.0,5000000
58.Gollaveedhi Kancharapalem,2018,1000,1,2,4000.0,4000000
58.Gollaveedhi Kancharapalem,2018,750,2,3,4000.0,3000000
59.GovindaRoad Kancharapalem,2018,1750,2,3,4300.0,7525000
59.GovindaRoad Kancharapalem,2018,1565,2,2,4300.0,6729500
59.GovindaRoad Kancharapalem,2018,1250,2,3,4300.0,5375000
59.GovindaRoad Kancharapalem,2018,1000,1,2,4300.0,4300000
59.GovindaRoad Kancharapalem,2018,750,2,3,4300.0,3225000
60.GrandbayHotel Gokhale road,2018,1750,2,3,4500.0,7875000
60.GrandbayHotel Gokhale road,2018,1565,2,2,4500.0,7042500
60.GrandbayHotel Gokhale road,2018,1250,1,2,4500.0,5625000
60.GrandbayHotel Gokhale road,2018,1000,2,3,4500.0,4500000
60.GrandbayHotel Gokhale road,2018,750,2,2,4500.0,3375000
61.Green Park Hotel Road,2018,1750,1,3,5200.0,9100000
61.Green Park Hotel Road,2018,1565,2,2,5200.0,8138000
61.Green Park Hotel Road,2018,1250,2,2,5200.0,6500000
61.Green Park Hotel Road,2018,1000,1,2,5200.0,5200000
61.Green Park Hotel Road,2018,750,1,1,5200.0,3900000
62.GurudwaraJunction,2018,1750,2,3,5200.0,9100000
62.GurudwaraJunction,2018,1565,1,2,5200.0,8138000
62.GurudwaraJunction,2018,1250,2,2,5200.0,6500000
62.GurudwaraJunction,2018,1000,1,2,5200.0,5200000
62.GurudwaraJunction,2018,750,1,1,5200.0,3900000
63.HanumanthaWaka,2018,1750,2,3,2400.0,4200000
63.HanumanthaWaka,2018,1565,1,2,2400.0,3756000
63.HanumanthaWaka,2018,1250,2,2,2400.0,3000000
63.HanumanthaWaka,2018,1000,1,2,2400.0,2400000
63.HanumanthaWaka,2018,750,1,1,2400.0,1800000
64.Harbour Street Kota Veedhi,2018,1750,2,3,2600.0,4550000
64.Harbour Street Kota Veedhi,2018,1565,1,2,3700.0,5790500
64.Harbour Street Kota Veedhi,2018,1250,2,2,3700.0,4625000
64.Harbour Street Kota Veedhi,2018,1000,1,2,3700.0,3700000
64.Harbour Street Kota Veedhi,2018,750,1,1,3700.0,2775000
65.HB Colony,2018,1750,2,3,2600.0,4550000
65.HB Colony,2018,1565,1,2,2600.0,4069000
65.HB Colony,2018,1250,2,2,2600.0,3250000
65.HB Colony,2018,1000,1,2,2600.0,2600000
65.HB Colony,2018,750,1,1,2600.0,1950000
66.HeadPostOfficeRoad,2018,1750,1,2,4000.0,7000000
66.HeadPostOfficeRoad,2018,1565,2,2,4000.0,6260000
66.HeadPostOfficeRoad,2018,1250,2,3,4000.0,5000000
66.HeadPostOfficeRoad,2018,1000,2,2,4000.0,4000000
66.HeadPostOfficeRoad,2018,750,1,1,4000.0,3000000
67.HPCL Layout,2018,1750,1,2,2400.0,4200000
67.HPCL Layout,2018,1565,2,2,2400.0,3756000
67.HPCL Layout,2018,1250,2,3,2400.0,3000000
67.HPCL Layout,2018,1000,2,2,2400.0,2400000
67.HPCL Layout,2018,750,1,1,2400.0,1800000
68.Indiranagar,2018,1750,1,2,2600.0,4550000
68.Indiranagar,2018,1565,2,2,2600.0,4069000
68.Indiranagar,2018,1250,2,3,2600.0,3250000
68.Indiranagar,2018,1000,2,2,2600.0,2600000
68.Indiranagar,2018,750,1,1,2600.0,1950000
69.IssukaThota,2018,1750,2,2,5200.0,9100000
69.IssukaThota,2018,1565,1,2,5200.0,8138000
69.IssukaThota,2018,1250,1,2,5200.0,6500000
69.IssukaThota,2018,1000,2,3,5200.0,5200000
69.IssukaThota,2018,750,1,2,5200.0,3900000
70.Jagadamba Junction,2018,1750,2,3,4900.0,8575000
70.Jagadamba Junction,2018,1565,2,2,4900.0,7668500
70.Jagadamba Junction,2018,1250,1,2,4900.0,6125000
70.Jagadamba Junction,2018,1000,1,2,4900.0,4900000
70.Jagadamba Junction,2018,750,1,1,4900.0,3675000
71.Jalaripeta,2018,1750,2,3,3900.0,6825000
71.Jalaripeta,2018,1565,2,2,3900.0,6103500
71.Jalaripeta,2018,1250,2,3,3900.0,4875000
71.Jalaripeta,2018,1000,2,2,3900.0,3900000
71.Jalaripeta,2018,750,2,2,3900.0,2925000
72.Jodugullapalem,2018,1750,2,3,2400.0,4200000
72.Jodugullapalem,2018,1565,2,2,2400.0,3756000
72.Jodugullapalem,2018,1250,1,2,2400.0,3000000
72.Jodugullapalem,2018,1000,1,2,2400.0,2400000
72.Jodugullapalem,2018,750,1,1,2400.0,1800000
73.Kailasa Metta,2018,1750,1,2,3400.0,5950000
73.Kailasa Metta,2018,1565,2,2,3400.0,5321000
73.Kailasa Metta,2018,1250,2,2,3400.0,4250000
73.Kailasa Metta,2018,1000,2,3,3400.0,3400000
73.Kailasa Metta,2018,750,1,2,3400.0,2550000
74.Kancharapalem,2018,1750,2,3,4600.0,8050000
74.Kancharapalem,2018,1565,1,2,4600.0,7199000
74.Kancharapalem,2018,1250,1,1,4600.0,5750000
74.Kancharapalem,2018,1000,2,3,4600.0,4600000
74.Kancharapalem,2018,750,1,1,4600.0,3450000
75.KGH DownRoad,2018,1750,2,2,4200.0,7350000
75.KGH DownRoad,2018,1565,2,3,4200.0,6573000
75.KGH DownRoad,2018,1250,1,2,4200.0,5250000
75.KGH DownRoad,2018,1000,2,3,4200.0,4200000
75.KGH DownRoad,2018,750,1,1,4200.0,3150000
76.KGH Quarter Kothasalipeta Road,2018,1750,2,2,3100.0,5425000
76.KGH Quarter Kothasalipeta Road,2018,1565,2,3,3100.0,4851500
76.KGH Quarter Kothasalipeta Road,2018,1250,1,2,3100.0,3875000
76.KGH Quarter Kothasalipeta Road,2018,1000,2,3,3100.0,3100000
76.KGH Quarter Kothasalipeta Road,2018,750,1,1,3100.0,2325000
77.KirlampudiLayout,2018,1750,1,2,4600.0,8050000
77.KirlampudiLayout,2018,1565,2,2,4600.0,7199000
77.KirlampudiLayout,2018,1250,2,2,4600.0,5750000
77.KirlampudiLayout,2018,1000,2,1,4600.0,4600000
77.KirlampudiLayout,2018,750,1,1,4600.0,3450000
78.Kolluru Masions Maharanipeta,2018,1750,1,2,3200.0,5600000
78.Kolluru Masions Maharanipeta,2018,1565,2,2,3200.0,5008000
78.Kolluru Masions Maharanipeta,2018,1250,2,2,3200.0,4000000
78.Kolluru Masions Maharanipeta,2018,1000,2,3,3200.0,3200000
78.Kolluru Masions Maharanipeta,2018,750,1,2,3200.0,2400000
79.Kommadi Jn NH,2018,1750,2,2,2700.0,4725000
79.Kommadi Jn NH,2018,1565,2,3,2700.0,4225500
79.Kommadi Jn NH,2018,1250,1,2,2700.0,3375000
79.Kommadi Jn NH,2018,1000,2,3,2700.0,2700000
79.Kommadi Jn NH,2018,750,1,1,2700.0,2025000
80.KonaVeedi Chinawaltair,2018,1750,2,2,2600.0,4550000
80.KonaVeedi Chinawaltair,2018,1565,2,3,2600.0,4069000
80.KonaVeedi Chinawaltair,2018,1250,1,2,2600.0,3250000
80.KonaVeedi Chinawaltair,2018,1000,2,3,2600.0,2600000
80.KonaVeedi Chinawaltair,2018,750,1,1,2600.0,1950000
81.KotakSchool ChinnaWaltair,2018,1750,2,3,4700.0,8225000
81.KotakSchool ChinnaWaltair,2018,1565,2,3,4700.0,7355500
81.KotakSchool ChinnaWaltair,2018,1250,2,2,4700.0,5875000
81.KotakSchool ChinnaWaltair,2018,1000,1,2,4700.0,4700000
81.KotakSchool ChinnaWaltair,2018,750,2,2,4700.0,3525000
82.Kothajalaripeta,2018,1750,2,2,3100.0,5425000
82.Kothajalaripeta,2018,1565,2,3,3100.0,4851500
82.Kothajalaripeta,2018,1250,1,2,3100.0,3875000
82.Kothajalaripeta,2018,1000,2,3,3100.0,3100000
82.Kothajalaripeta,2018,750,1,1,3100.0,2325000
83.KothaRoad,2018,1750,2,3,4200.0,7350000
83.KothaRoad,2018,1565,2,2,4200.0,6573000
83.KothaRoad,2018,1250,2,3,4200.0,5250000
83.KothaRoad,2018,1000,1,2,4200.0,4200000
83.KothaRoad,2018,750,1,1,4200.0,3150000
84.Kothavenkojipalem,2018,1750,2,2,3100.0,5425000
84.Kothavenkojipalem,2018,1565,2,3,3100.0,4851500
84.Kothavenkojipalem,2018,1250,1,2,3100.0,3875000
84.Kothavenkojipalem,2018,1000,2,3,3100.0,3100000
84.Kothavenkojipalem,2018,750,1,1,3100.0,2325000
85.KrishnaCollgeRoad,2018,1750,2,3,5200.0,9100000
85.KrishnaCollgeRoad,2018,1565,2,2,5200.0,8138000
85.KrishnaCollgeRoad,2018,1250,1,2,5200.0,6500000
85.KrishnaCollgeRoad,2018,1000,1,1,5200.0,5200000
85.KrishnaCollgeRoad,2018,750,1,1,5200.0,3900000
86.LalithaNagar Akkayyapalem,2018,1750,2,3,5200.0,9100000
86.LalithaNagar Akkayyapalem,2018,1565,2,2,5200.0,8138000
86.LalithaNagar Akkayyapalem,2018,1250,1,2,5200.0,6500000
86.LalithaNagar Akkayyapalem,2018,1000,2,1,5200.0,5200000
86.LalithaNagar Akkayyapalem,2018,750,2,3,5200.0,3900000
87.LawCollege,2018,1750,2,3,2300.0,4025000
87.LawCollege,2018,1565,2,2,2300.0,3599500
87.LawCollege,2018,1250,1,2,2300.0,2875000
87.LawCollege,2018,1000,2,1,2300.0,2300000
